critical_level,violation_description,violation_date
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11/14/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/06/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/07/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/02/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/09/2018
C,Hot food item not held at or above 140º F.,11/27/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/20/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/28/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/30/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",03/16/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/26/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/21/2019
C,Live roaches present in facility's food and/or non-food areas.,01/04/2017
C,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,05/22/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",01/16/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/27/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/01/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,10/16/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/10/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,11/12/2019
C,Food Protection Certificate not held by supervisor of food operations.,12/19/2016
C,Live roaches present in facility's food and/or non-food areas.,07/10/2019
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12/07/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/02/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/13/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",04/10/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/17/2018
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",04/10/2019
C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",02/20/2018
C,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,02/13/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",07/23/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/08/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,05/17/2017
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12/27/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,12/14/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,08/01/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",03/18/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,07/14/2017
C,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",03/20/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,02/12/2018
C,Live roaches present in facility's food and/or non-food areas.,07/24/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/03/2018
C,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",01/08/2019
C,Food Protection Certificate not held by supervisor of food operations.,04/02/2019
C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",09/26/2019
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/18/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,03/19/2019
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",09/13/2018
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,06/11/2019
C,Food Protection Certificate not held by supervisor of food operations.,02/06/2019
C,Live roaches present in facility's food and/or non-food areas.,11/22/2017
C,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",04/25/2017
C,Evidence of mice or live mice present in facility's food and/or non-food areas.,01/28/2019
C,Hot food item not held at or above 140º F.,01/17/2017
C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",07/18/2017
